date,session_date,setup_detected,direction,poi_type,sweep_level,pattern_candle_a,pattern_candle_b,entry_price,stop_loss,take_profit,sl_distance,tp_distance,trader_agrees,actual_result,hypothetical_pnl,notes
2026-05-04T15:29:55.874436,2025-05-22,True,SHORT,BEARISH,42055.5,,,42025.1,42085.1,41905.1,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:55.910397,2025-05-23,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.936511,2025-05-25,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.962195,2025-05-26,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.996807,2025-05-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.036431,2025-05-28,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.075181,2025-05-29,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.115204,2025-05-30,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.142248,2025-06-01,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.182452,2025-06-02,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.220233,2025-06-03,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.255660,2025-06-04,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.294974,2025-06-05,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.336446,2025-06-06,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.368258,2025-06-08,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.403970,2025-06-09,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.441594,2025-06-10,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.480312,2025-06-11,True,LONG,BULLISH,42951.8,,,42968.9,42852.1,43202.5,116.8,233.6,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:56.520999,2025-06-12,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.560241,2025-06-13,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.589225,2025-06-15,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.627234,2025-06-16,True,SHORT,BEARISH,42650.3,,,42529.5,42589.5,42409.5,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:56.669098,2025-06-17,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.709406,2025-06-18,True,LONG,BULLISH,42333.1,,,42413.9,42353.9,42533.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:56.738278,2025-06-19,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.776374,2025-06-20,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.801981,2025-06-22,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:56.841061,2025-06-23,True,SHORT,BEARISH,42458.5,,,42484.4,42544.4,42364.4,60.0,120.0,,,,Dry-run: awaiting manual trader verification
